AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover
21003,170,538.9,31.9,,,622.1,66.8
21003,180,562.3,32.6,,,652.4,66.5
21003,190,583.5,33.3,,,680.5,66.1
21003,200,602.5,33.9,,,706.5,65.7
21003,210,619.7,34.5,,,730.6,65.4
21003,220,634.6,35.0,,,752.7,65.0
21003,230,647.9,35.5,,,773.6,64.6
21003,240,659.9,35.9,,,793.0,64.3
21003,250,670.6,36.3,,,811.1,63.9
21003,260,680.2,36.7,,,828.0,63.5
21003,270,688.8,37.1,,,843.8,63.2
21003,280,698.1,37.4,,,860.8,62.8
21003,290,706.6,37.8,,,877.2,62.5
21003,300,714.3,38.1,,,892.6,62.1
21003,310,721.3,38.4,,,907.2,61.7
21003,320,727.5,38.7,,,921.1,61.4
21003,330,733.0,38.9,,,934.2,61.0
21003,340,737.9,39.2,,,946.7,60.6
21003,350,742.3,39.4,,,958.5,60.3
22001,0,0.0,0.0,,,0.0,0.0
22001,10,0.0,4.0,,,0.3,12.7
22001,20,32.9,12.0,,,55.2,86.1
22001,30,196.9,19.2,,,228.2,95.3
22001,40,386.1,25.3,,,429.5,95.1
22001,50,590.2,30.3,,,646.6,94.6
22001,60,770.7,34.5,,,842.7,94.1
22001,70,931.7,38.1,,,1023.7,93.7
22001,80,1073.5,41.2,,,1189.8,93.2
22001,90,1194.8,43.8,,,1341.2,92.7
22001,100,1296.7,46.1,,,1477.2,92.2
22001,110,1382.8,48.2,,,1603.4,91.7
22001,120,1457.5,50.0,,,1719.1,91.2
22001,130,1520.3,51.6,,,1820.8,90.7
22001,140,1574.1,53.0,,,1915.3,90.3
22001,150,1623.9,54.3,,,2004.7,89.8
22001,160,1669.9,55.5,,,2084.5,89.3
22001,170,1710.7,56.6,,,2154.3,88.8
22001,180,1746.0,57.5,,,2217.6,88.3
22001,190,1773.3,58.4,,,2273.9,87.8
22001,200,1796.8,59.2,,,2327.0,87.3
22001,210,1817.6,60.0,,,2376.5,86.9
22001,220,1835.6,60.7,,,2422.0,86.4
22001,230,1841.7,61.3,,,2445.9,85.9
22001,240,1835.5,61.9,,,2451.0,85.4
22001,250,1828.7,62.5,,,2455.4,84.9
22001,260,1821.4,63.0,,,2459.2,84.4
22001,270,1813.6,63.5,,,2462.5,84.0
22001,280,1805.4,64.0,,,2465.3,83.5
22001,290,1797.1,64.4,,,2468.2,83.0
22001,300,1788.5,64.8,,,2470.6,82.5
22001,310,1779.6,65.2,,,2472.7,82.0
22001,320,1770.5,65.6,,,2474.5,81.5
22001,330,1761.2,65.9,,,2476.1,81.0
22001,340,1751.7,66.3,,,2477.5,80.6
22001,350,1742.0,66.6,,,2478.6,80.1
22002,0,0.0,0.0,,,0.0,0.0
22002,10,0.0,2.2,,,0.0,2.0
22002,20,0.0,5.2,,,1.0,12.6
22002,30,0.6,8.6,,,10.3,35.5
22002,40,19.5,11.7,,,35.0,57.3
22002,50,63.1,14.5,,,80.7,65.4
22002,60,109.8,16.9,,,130.9,67.8
22002,70,155.8,19.0,,,181.1,68.3
22002,80,200.0,20.9,,,229.9,68.2
22002,90,241.6,22.6,,,276.1,67.8
22002,100,281.1,24.2,,,320.4,67.5
22002,110,323.4,25.5,,,368.0,67.1
22002,120,360.8,26.8,,,410.7,66.8
22002,130,393.9,27.9,,,449.1,66.4
22002,140,423.8,28.9,,,484.3,66.1
22002,150,453.0,29.8,,,519.3,65.7
22002,160,480.9,30.6,,,553.4,65.4
22002,170,505.5,31.4,,,584.0,65.0
22002,180,527.6,32.1,,,612.3,64.6
22002,190,548.0,32.7,,,639.3,64.3
22002,200,566.4,33.3,,,664.3,63.9
22002,210,583.0,33.9,,,687.5,63.6
22002,220,598.1,34.4,,,709.1,63.2
22002,230,610.7,34.9,,,728.7,62.9
22002,240,621.8,35.3,,,746.6,62.5
22002,250,632.1,35.7,,,764.0,62.2
22002,260,641.5,36.1,,,780.2,61.8
22002,270,649.8,36.5,,,795.5,61.5
22002,280,657.4,36.8,,,809.9,61.1
22002,290,664.7,37.2,,,824.2,60.7
22002,300,672.2,37.5,,,839.1,60.4
22002,310,679.0,37.8,,,853.2,60.0
22002,320,685.1,38.0,,,866.5,59.7
22002,330,690.5,38.3,,,879.2,59.3
22002,340,695.3,38.6,,,891.2,59.0
22002,350,699.6,38.8,,,902.6,58.6
22003,0,0.0,0.0,,,0.0,0.0
22003,10,0.0,2.5,,,0.0,3.1
22003,20,0.0,6.7,,,4.2,26.0
22003,30,18.2,11.2,,,36.0,64.4
22003,40,90.6,15.2,,,111.7,79.4
22003,50,174.9,18.7,,,202.3,81.6
22003,60,261.0,21.7,,,295.3,81.5
22003,70,342.9,24.4,,,384.5,81.1
22003,80,431.8,26.7,,,481.4,80.7
22003,90,509.3,28.8,,,567.0,80.3
22003,100,582.2,30.6,,,648.8,79.8
22003,110,649.5,32.2,,,725.7,79.4
22003,120,712.0,33.7,,,799.0,79.0
22003,130,769.5,35.0,,,867.6,78.6
22003,140,817.7,36.2,,,928.0,78.2
22003,150,858.2,37.3,,,980.8,77.7
22003,160,894.6,38.3,,,1029.4,77.3
22003,170,931.8,39.1,,,1080.1,76.9
22003,180,965.0,40.0,,,1126.6,76.5
22003,190,995.1,40.7,,,1169.8,76.1
22003,200,1022.6,41.4,,,1211.8,75.6
22003,210,1047.5,42.0,,,1251.2,75.2
22003,220,1069.7,42.6,,,1287.7,74.8
22003,230,1089.7,43.2,,,1321.7,74.4
22003,240,1106.1,43.7,,,1351.9,74.0
22003,250,1119.0,44.2,,,1378.5,73.5
22003,260,1130.5,44.6,,,1403.3,73.1
22003,270,1140.5,45.0,,,1426.5,72.7
22003,280,1149.3,45.4,,,1448.2,72.3
22003,290,1157.1,45.8,,,1468.7,71.9
22003,300,1164.8,46.1,,,1489.5,71.4
22003,310,1172.7,46.5,,,1510.6,71.0
22003,320,1179.6,46.8,,,1530.7,70.6
22003,330,1185.6,47.1,,,1549.7,70.2
22003,340,1190.8,47.3,,,1567.7,69.8
22003,350,1195.2,47.6,,,1584.8,69.3
22004,0,0.0,0.0,,,0.0,0.0
22004,10,0.0,3.1,,,0.0,8.0
22004,20,2.3,9.3,,,19.6,67.7
22004,30,86.6,15.1,,,111.8,92.7
22004,40,208.3,20.0,,,241.8,94.9
22004,50,322.9,24.0,,,365.4,94.6
22004,60,449.1,27.4,,,500.5,94.1
22004,70,563.9,30.2,,,625.5,93.7
22004,80,661.4,32.7,,,733.6,93.2
22004,90,751.8,34.8,,,836.2,92.7
22004,100,828.2,36.7,,,925.7,92.2
22004,110,898.8,38.3,,,1010.8,91.7
22004,120,961.3,39.8,,,1087.8,91.2
22004,130,1015.5,41.1,,,1158.7,90.7
22004,140,1062.4,42.2,,,1222.0,90.3
22004,150,1102.5,43.3,,,1278.5,89.8
22004,160,1137.2,44.2,,,1331.0,89.3
22004,170,1169.2,45.1,,,1380.5,88.8
22004,180,1197.5,45.9,,,1426.0,88.3
22004,190,1222.3,46.6,,,1467.8,87.8
22004,200,1243.1,47.3,,,1508.0,87.3
22004,210,1261.1,47.9,,,1544.8,86.9
22004,220,1277.0,48.5,,,1578.8,86.4
22004,230,1291.0,49.0,,,1610.4,85.9
22004,240,1304.2,49.5,,,1640.6,85.4
22004,250,1315.6,50.0,,,1669.8,84.9
22004,260,1325.3,50.4,,,1697.3,84.4
22004,270,1333.7,50.8,,,1723.1,84.0
22004,280,1340.9,51.2,,,1747.3,83.5
22004,290,1346.9,51.5,,,1770.0,83.0
22004,300,1351.3,51.9,,,1791.0,82.5
22004,310,1354.9,52.2,,,1810.8,82.0
22004,320,1357.7,52.5,,,1829.6,81.5
22004,330,1359.7,52.8,,,1847.6,81.0
22004,340,1360.6,53.1,,,1865.1,80.6
22004,350,1361.0,53.3,,,1881.7,80.1
22005,0,0.0,0.0,,,0.0,0.0
22005,10,0.0,3.5,,,0.0,7.7
22005,20,7.7,10.0,,,27.3,65.3
22005,30,137.8,16.2,,,164.0,96.3
22005,40,309.9,21.6,,,347.4,98.1
22005,50,496.3,26.2,,,546.1,97.6
22005,60,679.3,30.1,,,742.2,97.1
22005,70,852.6,33.5,,,931.9,96.6
22005,80,1012.4,36.4,,,1112.4,96.1
22005,90,1140.5,39.0,,,1264.1,95.6
22005,100,1267.2,41.2,,,1417.9,95.1
22005,110,1378.8,43.2,,,1560.6,94.6
22005,120,1475.7,44.9,,,1689.1,94.1
22005,130,1553.4,46.5,,,1798.8,93.6
22005,140,1622.8,47.9,,,1899.4,93.1
22005,150,1689.0,49.2,,,1997.8,92.6
22005,160,1747.1,50.4,,,2087.1,92.1
22005,170,1795.4,51.4,,,2164.1,91.6
22005,180,1837.6,52.3,,,2233.8,91.1
22005,190,1874.6,53.2,,,2297.6,90.6
22005,200,1912.3,54.0,,,2361.7,90.1
22005,210,1946.0,54.7,,,2421.2,89.6
22005,220,1976.2,55.4,,,2476.6,89.1
22005,230,2002.4,56.0,,,2528.0,88.6
22005,240,2021.7,56.6,,,2573.3,88.1
22005,250,2038.4,57.1,,,2615.2,87.6
22005,260,2052.8,57.6,,,2654.3,87.1
22005,270,2065.1,58.1,,,2690.8,86.6
22005,280,2075.5,58.5,,,2724.8,86.1
22005,290,2087.7,58.9,,,2760.0,85.6
22005,300,2098.5,59.3,,,2793.2,85.1
22005,310,2107.6,59.7,,,2824.6,84.6
22005,320,2115.3,60.0,,,2854.1,84.1
22005,330,2121.6,60.4,,,2882.0,83.6
22005,340,2126.6,60.7,,,2908.4,83.1
22005,350,2130.5,61.0,,,2933.4,82.6
22006,0,0.0,0.0,,,0.0,0.0
22006,10,0.0,1.5,,,0.0,0.8
22006,20,0.0,2.8,,,0.0,2.8
22006,30,0.0,4.4,,,0.2,7.4
22006,40,0.0,6.0,,,1.4,14.6
22006,50,0.0,7.4,,,4.5,23.6
22006,60,0.8,8.8,,,10.1,32.9
22006,70,5.8,10.0,,,17.9,40.7
22006,80,13.9,11.0,,,27.3,46.7
22006,90,23.4,12.0,,,37.6,50.4
22006,100,35.9,12.9,,,51.1,51.8
22006,110,47.0,13.6,,,63.3,52.8
22006,120,56.7,14.3,,,74.1,53.7
22006,130,65.5,14.9,,,84.1,54.3
22006,140,73.9,15.4,,,93.8,54.5
22006,150,81.8,15.9,,,103.1,54.4
22006,160,88.6,16.3,,,111.4,54.3
22006,170,94.6,16.7,,,118.8,54.2
22006,180,99.9,17.0,,,125.4,54.1
22006,190,104.7,17.3,,,131.6,53.9
22006,200,108.9,17.6,,,137.0,53.7
22006,210,112.5,17.9,,,142.0,53.5
22006,220,115.6,18.1,,,146.4,53.2
22006,230,118.4,18.3,,,150.4,53.0
22006,240,120.7,18.4,,,154.0,52.7
22006,250,122.8,18.6,,,157.2,52.5
22006,260,124.7,18.7,,,160.3,52.2
22006,270,126.4,18.9,,,163.2,51.9
22006,280,128.2,19.0,,,166.2,51.6
22006,290,129.7,19.1,,,168.9,51.3
22006,300,130.9,19.2,,,171.4,51.0
22006,310,132.0,19.3,,,173.7,50.7
22006,320,133.0,19.4,,,175.8,50.4
22006,330,133.7,19.5,,,177.7,50.1
22006,340,134.4,19.5,,,179.5,49.8
22006,350,134.9,19.6,,,181.2,49.5
22007,0,0.0,0.0,,,0.0,0.0
22007,10,0.0,3.0,,,0.0,3.9
22007,20,0.2,8.1,,,8.4,34.0
22007,30,48.4,13.4,,,65.9,67.6
22007,40,142.4,18.0,,,165.3,74.0
22007,50,244.0,22.0,,,274.2,74.1
22007,60,347.6,25.4,,,385.7,73.8
22007,70,451.4,28.4,,,497.9,73.4
22007,80,546.9,31.0,,,602.7,73.0
22007,90,635.4,33.3,,,701.8,72.6
22007,100,718.9,35.3,,,797.6,72.2
22007,110,786.6,37.1,,,879.1,71.9
22007,120,845.3,38.7,,,951.9,71.5
22007,130,904.4,40.2,,,1026.9,71.1
22007,140,956.6,41.5,,,1094.7,70.7
22007,150,1004.0,42.6,,,1160.0,70.3
22007,160,1045.8,43.7,,,1219.4,70.0
22007,170,1080.4,44.7,,,1271.2,69.6
22007,180,1108.4,45.5,,,1316.0,69.2
22007,190,1133.9,46.4,,,1358.0,68.8
22007,200,1157.4,47.1,,,1397.9,68.4
22007,210,1181.2,47.8,,,1438.7,68.1
22007,220,1202.4,48.4,,,1476.3,67.7
22007,230,1221.1,49.0,,,1511.2,67.3
22007,240,1237.7,49.5,,,1543.6,66.9
22007,250,1251.0,50.0,,,1571.9,66.5
22007,260,1262.7,50.5,,,1598.2,66.2
22007,270,1272.7,51.0,,,1622.6,65.8
22007,280,1281.3,51.4,,,1645.5,65.4
22007,290,1288.7,51.8,,,1667.0,65.0
22007,300,1295.3,52.1,,,1687.6,64.6
22007,310,1302.7,52.5,,,1709.1,64.3
22007,320,1309.1,52.8,,,1729.3,63.9
22007,330,1314.6,53.1,,,1748.5,63.5
22007,340,1319.2,53.4,,,1766.6,63.1
22007,350,1323.0,53.7,,,1783.9,62.7
22008,0,0.0,0.0,,,0.0,0.0
22008,10,0.0,0.5,,,0.0,2.3
22008,20,0.0,1.0,,,0.0,7.4
22008,30,0.0,1.5,,,1.1,16.4
22008,40,0.0,2.1,,,4.1,26.5
22008,50,0.2,2.6,,,10.2,36.2
22008,60,2.2,3.0,,,18.9,44.4
22008,70,5.7,3.5,,,31.4,50.5
22008,80,11.1,3.8,,,46.2,54.6
22008,90,16.9,4.2,,,61.5,57.2
22008,100,22.1,4.5,,,75.6,59.3
22008,110,27.5,4.7,,,90.1,60.3
22008,120,32.4,5.0,,,103.0,61.0
22008,130,36.8,5.2,,,115.1,61.6
22008,140,40.9,5.4,,,127.4,61.9
22008,150,44.8,5.6,,,138.3,62.0
22008,160,48.5,5.8,,,148.2,62.1
22008,170,51.9,5.9,,,156.9,62.1
22008,180,54.9,6.1,,,164.6,62.0
22008,190,57.8,6.2,,,171.8,61.9
22008,200,60.6,6.3,,,178.5,61.7
22008,210,63.1,6.4,,,184.4,61.4
22008,220,65.3,6.5,,,189.7,61.1
22008,230,67.4,6.6,,,194.4,60.9
22008,240,69.2,6.7,,,198.7,60.6
22008,250,70.9,6.8,,,202.5,60.3
22008,260,72.6,6.9,,,206.1,60.0
22008,270,74.4,6.9,,,209.8,59.7
22008,280,76.0,7.0,,,213.1,59.4
22008,290,77.5,7.1,,,216.1,59.0
22008,300,78.9,7.1,,,219.0,58.7
22008,310,80.1,7.2,,,221.6,58.4
22008,320,81.3,7.3,,,224.0,58.0
22008,330,82.3,7.3,,,226.2,57.7
22008,340,83.2,7.4,,,228.3,57.4
22008,350,84.1,7.4,,,230.3,57.0
23000,0,0.0,0.0,,,0.0,0.0
23000,10,0.0,4.0,,,0.1,9.8
23000,20,22.5,11.4,,,43.3,77.3
23000,30,195.4,18.3,,,224.6,96.1
23000,40,399.7,24.2,,,441.6,96.1
23000,50,624.1,29.2,,,680.0,95.6
23000,60,834.9,33.4,,,907.8,95.1
23000,70,1027.9,37.0,,,1124.4,94.6
23000,80,1190.8,40.1,,,1315.9,94.1
23000,90,1343.1,42.8,,,1502.0,93.6
23000,100,1475.1,45.2,,,1671.9,93.1
23000,110,1580.2,47.3,,,1815.3,92.7
23000,120,1676.7,49.2,,,1951.2,92.2
23000,130,1764.3,50.8,,,2076.8,91.7
23000,140,1836.4,52.3,,,2183.7,91.2
23000,150,1899.4,53.6,,,2279.8,90.7
23000,160,1962.7,54.8,,,2376.2,90.2
23000,170,2019.1,55.9,,,2464.6,89.7
23000,180,2067.1,56.9,,,2543.9,89.2
23000,190,2104.9,57.8,,,2612.8,88.7
23000,200,2137.9,58.6,,,2675.7,88.2
23000,210,2166.7,59.4,,,2733.3,87.8
23000,220,2196.6,60.0,,,2791.3,87.3
23000,230,2222.6,60.7,,,2845.1,86.8
23000,240,2245.4,61.3,,,2894.9,86.3
23000,250,2265.8,61.8,,,2941.8,85.8
23000,260,2271.7,62.3,,,2968.7,85.3
23000,270,2263.3,62.8,,,2975.6,84.8
23000,280,2253.3,63.3,,,2979.3,84.3
23000,290,2242.8,63.7,,,2982.6,83.8
23000,300,2231.9,64.1,,,2985.4,83.3
23000,310,2220.7,64.5,,,2987.8,82.9
23000,320,2209.3,64.8,,,2989.9,82.4
23000,330,2197.5,65.1,,,2991.7,81.9
23000,340,2185.6,65.4,,,2993.3,81.4
23000,350,2173.5,65.7,,,2994.7,80.9
23001,0,0.0,0.0,,,0.0,0.0
23001,10,0.0,4.5,,,0.8,16.1
23001,20,58.5,13.3,,,81.7,89.9
23001,30,255.4,21.2,,,290.1,95.6
23001,40,486.9,27.8,,,535.0,95.1
23001,50,713.0,33.2,,,776.7,94.6
23001,60,920.9,37.8,,,1006.5,94.1
23001,70,1099.4,41.6,,,1213.1,93.7
23001,80,1250.9,44.9,,,1402.3,93.2
23001,90,1374.9,47.8,,,1575.6,92.7
23001,100,1481.0,50.3,,,1735.5,92.2
23001,110,1568.6,52.5,,,1876.7,91.7
23001,120,1645.9,54.5,,,2007.5,91.2
23001,130,1724.4,56.2,,,2124.0,90.7
23001,140,1787.6,57.8,,,2225.4,90.3
23001,150,1833.5,59.2,,,2313.3,89.8
23001,160,1875.0,60.4,,,2393.0,89.3
23001,170,1895.9,61.6,,,2432.6,88.8
23001,180,1913.9,62.7,,,2469.2,88.3
23001,190,1916.5,63.6,,,2485.5,87.8
23001,200,1914.8,64.5,,,2496.3,87.3
23001,210,1911.8,65.4,,,2505.6,86.9
23001,220,1907.7,66.1,,,2513.7,86.4
23001,230,1898.3,66.8,,,2515.3,85.9
23001,240,1887.5,67.5,,,2515.3,85.4
23001,250,1876.8,68.1,,,2515.3,84.9
23001,260,1866.1,68.7,,,2515.3,84.4
23001,270,1855.4,69.2,,,2515.3,84.0
23001,280,1844.7,69.7,,,2515.3,83.5
23001,290,1834.0,70.2,,,2515.3,83.0
23001,300,1823.2,70.7,,,2515.3,82.5
23001,310,1812.5,71.1,,,2515.3,82.0
23001,320,1801.8,71.5,,,2515.3,81.5
23001,330,1791.1,71.9,,,2515.3,81.0
23001,340,1780.4,72.2,,,2515.3,80.6
23001,350,1769.6,72.6,,,2515.3,80.1
23003,0,0.0,0.0,,,0.0,0.0
23003,10,0.0,3.0,,,0.0,4.4
23003,20,0.5,8.5,,,11.0,39.6
23003,30,64.3,14.1,,,83.1,73.3
23003,40,173.4,18.9,,,199.0,78.2
23003,50,288.4,23.1,,,322.2,78.0
23003,60,412.3,26.6,,,455.1,77.6
23003,70,526.0,29.7,,,578.1,77.2
23003,80,635.6,32.5,,,698.8,76.8
23003,90,737.7,34.8,,,814.3,76.4
23003,100,823.8,36.9,,,915.5,76.0
23003,110,896.1,38.8,,,1003.6,75.6
23003,120,968.8,40.4,,,1094.5,75.2
23003,130,1033.1,41.9,,,1177.2,74.8
23003,140,1090.6,43.2,,,1255.4,74.4
23003,150,1141.1,44.4,,,1325.9,74.0
23003,160,1180.2,45.5,,,1385.0,73.6
23003,170,1215.4,46.5,,,1439.7,73.2
23003,180,1247.9,47.4,,,1491.5,72.8
23003,190,1280.0,48.3,,,1543.4,72.4
23003,200,1308.5,49.0,,,1591.0,72.0
23003,210,1333.1,49.7,,,1634.3,71.6
23003,220,1353.5,50.4,,,1672.4,71.2
23003,230,1370.9,51.0,,,1707.3,70.8
23003,240,1386.3,51.5,,,1739.7,70.4
23003,250,1399.7,52.0,,,1769.9,70.0
23003,260,1411.7,52.5,,,1798.2,69.6
23003,270,1424.6,53.0,,,1827.5,69.2
23003,280,1436.0,53.4,,,1855.0,68.8
23003,290,1446.0,53.8,,,1880.8,68.4
23003,300,1454.6,54.1,,,1905.1,68.0
23003,310,1462.0,54.5,,,1928.1,67.6
23003,320,1468.4,54.8,,,1949.7,67.2
23003,330,1472.7,55.1,,,1969.6,66.8
23003,340,1475.5,55.4,,,1987.8,66.4
23003,350,1477.5,55.7,,,2005.2,66.0
